"I want to eat	"
"he did not answer	"
"he got a very nice raise	"
"she got me a nice present	"
"ha ha ha it was so funny	"
"he is a good friend	"
"I am upset	"
"We had such a lovely dinner tonight	"
"where is the food	"
"Stop making this joke ha ha ha	"
"where is the ball	"
"work is hard	"
"This girl is messing with me	"
are you serious
"Let us go play baseball	"
"This stupid grader is not working 	"
"work is horrible	"
"Congratulation for having a baby	"
stop pissing me off
"any suggestions for dinner	"
"I love taking breaks	"
"you brighten my day	"
"I boiled rice	"
"she is a bully	"
"Why are you feeling bad	"
"I am upset	"
give me the ball
"My grandmother is the love of my life	"
enjoy your game
"valentine day is near	"
"I miss you so much	"
"throw the ball	"
"My life is so boring	"
"she said yes	"
"will you be my valentine	"
"he can pitch really well	"
"dance with me	"
I am hungry
"See you at the restaurant	"
"I like to laugh	"
I will  run
"I like your jacket 	"
"i miss her	"
"what is your favorite baseball game	"
"Good job	"
"I love you to the stars and back	"
"What you did was awesome	"
"ha ha ha lol	"
"I do not want to joke	"
"go away	"
"yesterday we lost again	"
"family is all I have	"
"you are failing this exercise	"
"Good joke	"
"You deserve this nice prize	"
I did not have breakfast 
